,AnimalID,Date,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
11131,A695309,2015-01-14,Return_to_owner,Dog,Neutered Male,8 years,Cocker Spaniel Mix,White/Buff
11132,A712067,2015-10-12,Transfer,Dog,Neutered Male,3 years,Australian Shepherd/Labrador Retriever,Blue Merle/Black
11133,A698272,2015-03-10,Return_to_owner,Dog,Neutered Male,7 years,Border Collie Mix,Black/White
11134,A657709,2014-03-07,Euthanasia,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
11135,A683948,2014-07-20,Transfer,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Black
11136,A686453,2014-09-27,Adoption,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Blue/White
11137,A705251,2015-06-16,Return_to_owner,Dog,Neutered Male,10 years,Labrador Retriever Mix,Black
11138,A689315,2014-10-09,Transfer,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Black/White
11139,A648634,2014-10-22,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie/White
11140,A710846,2015-08-29,Transfer,Cat,Unknown,4 months,Domestic Shorthair Mix,Black
11141,A671820,2014-02-04,Adoption,Dog,Neutered Male,4 years,Miniature Poodle Mix,Black/Brown
11142,A695075,2015-01-11,Return_to_owner,Dog,Neutered Male,4 months,Anatol Shepherd Mix,Tricolor
11143,A693303,2014-12-12,Adoption,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black/White
11144,A703186,2015-05-22,Return_to_owner,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Brown Tabby
11145,A665490,2013-11-02,Adoption,Dog,Neutered Male,8 months,Queensland Heeler Mix,Blue Merle
11146,A666567,2013-11-07,Transfer,Dog,Intact Male,10 years,Pomeranian,Buff
11147,A665578,2013-11-04,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
11148,A696341,2015-02-04,Transfer,Cat,Unknown,3 months,Domestic Shorthair Mix,Black
11149,A664840,2014-01-27,Adoption,Dog,Spayed Female,3 years,Catahoula/Australian Cattle Dog,Red/White
11150,A528982,2013-11-04,Transfer,Dog,Spayed Female,5 years,Dachshund Mix,Brown
11151,A710226,2015-11-20,Adoption,Dog,Spayed Female,3 months,Toy Fox Terrier Mix,White/Tricolor
11152,A714826,2015-11-21,Transfer,Dog,Spayed Female,7 years,Boxer Mix,White/Brown
11153,A683415,2014-07-16,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
11154,A710001,2015-08-15,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
11155,A700155,2015-04-10,Return_to_owner,Dog,Intact Male,3 years,German Shepherd,Black/Tan
11156,A669696,2015-10-18,Return_to_owner,Dog,Neutered Male,5 years,Pit Bull Mix,Tricolor
11157,A689551,2014-10-11,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Blue Tabby
11158,A694716,2015-02-07,Adoption,Dog,Spayed Female,3 years,Australian Cattle Dog Mix,White/Black
11159,A653281,2014-03-29,Transfer,Dog,Neutered Male,11 months,Labrador Retriever/Pit Bull,Black
11160,A702691,2015-05-16,Transfer,Cat,Intact Female,5 weeks,Domestic Shorthair Mix,Brown Tabby/White
11161,A666919,2013-11-15,Transfer,Dog,Intact Male,6 months,Chihuahua Shorthair,White/Black
11162,A693461,2014-12-13,Adoption,Dog,Neutered Male,4 years,Dachshund Longhair Mix,Brown
11163,A686925,2014-09-09,Return_to_owner,Dog,Neutered Male,2 years,Shih Tzu Mix,White/Gray
11164,A707205,2015-07-13,Transfer,Dog,Intact Male,1 month,Pit Bull Mix,Black
11165,A682367,2014-06-28,Return_to_owner,Dog,Intact Female,5 years,English Bulldog Mix,Brown/White
11166,A668001,2013-11-27,Euthanasia,Dog,Intact Male,2 years,Pit Bull/Labrador Retriever,Tan/Black
11167,A681420,2014-08-15,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
11168,A639677,2014-03-10,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,White/Black
11169,A663495,2014-10-14,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
11170,A677292,2014-04-23,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Orange Tabby
11171,A685718,2014-10-25,Adoption,Cat,Spayed Female,5 years,Domestic Longhair Mix,Blue Tabby
11172,A712231,2015-12-12,Adoption,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point
11173,A704826,2015-06-09,Euthanasia,Cat,Intact Female,13 years,Domestic Medium Hair Mix,Tortie
11174,A716798,2015-11-30,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
11175,A710257,2015-08-24,Adoption,Dog,Spayed Female,1 month,German Shepherd/Labrador Retriever,Brown/Black
11176,A686231,2014-08-22,Adoption,Dog,Neutered Male,6 months,German Shepherd Mix,Black/Tan
11177,A555643,2014-09-01,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Orange Tabby
11178,A691193,2014-11-05,Transfer,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Black
11179,A695799,2015-01-24,Euthanasia,Dog,Neutered Male,3 years,Pit Bull Mix,White/Brown Brindle
11180,A707504,2015-07-14,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
11181,A688606,2014-09-22,Return_to_owner,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
11182,A711113,2015-09-02,Transfer,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue
11183,A710004,2015-08-23,Adoption,Dog,Spayed Female,5 months,Collie Smooth,Tan/White
11184,A707679,2015-07-28,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
11185,A683280,2014-07-09,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
11186,A707094,2015-07-13,Adoption,Dog,Neutered Male,8 months,Beagle Mix,Red/Black
11187,A715702,2015-11-15,Transfer,Dog,Intact Male,10 months,Chihuahua Shorthair/Dachshund,Brown
11188,A698817,2015-03-22,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair,Tricolor
11189,A649333,2014-04-15,Return_to_owner,Dog,Neutered Male,5 years,Pit Bull Mix,Fawn/White
11190,A682378,2014-07-12,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
11191,A690299,2014-12-07,Adoption,Dog,Neutered Male,1 year,Catahoula/Staffordshire,Brown/White
11192,A718269,2015-12-31,Adoption,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,White/Black
11193,A699651,2015-03-31,Return_to_owner,Dog,Spayed Female,8 years,Yorkshire Terrier Mix,Tan
11194,A686880,2014-08-28,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Black/White
11195,A686189,2014-08-18,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
11196,A702938,2015-05-20,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue/White
11197,A717074,2015-12-08,Adoption,Dog,Spayed Female,5 months,Pit Bull Mix,White/Brown Brindle
11198,A684270,2014-07-25,Transfer,Cat,Intact Female,1 year,Manx Mix,Calico
11199,A666513,2013-11-09,Adoption,Dog,Neutered Male,6 months,Dachshund Mix,Brown/White
11200,A703438,2015-05-25,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Fawn
11201,A714791,2015-10-29,Transfer,Cat,Intact Male,9 months,Domestic Shorthair Mix,Brown Tabby
11202,A677150,2014-09-30,Return_to_owner,Dog,Neutered Male,1 year,Rottweiler Mix,Black/Tan
11203,A692018,2014-12-28,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
11204,A672884,2014-02-27,Adoption,Dog,Neutered Male,5 years,Rottweiler Mix,Black/Tan
11205,A677108,2014-04-19,Transfer,Cat,Unknown,2 days,Domestic Shorthair Mix,Calico
11206,A680961,2014-06-18,Adoption,Dog,Spayed Female,2 months,Bruss Griffon Mix,Brown
11207,A695934,2015-03-14,Adoption,Dog,Neutered Male,1 year,Boxer Mix,Brown Brindle/White
11208,A687792,2014-09-19,Transfer,Dog,Intact Female,2 years,Dachshund Wirehair/Border Terrier,Black/Tan
11209,A686211,2014-09-14,Adoption,Cat,Neutered Male,13 years,Domestic Medium Hair Mix,Black/White
11210,A719892,2016-01-30,Return_to_owner,Dog,Neutered Male,5 years,Basset Hound Mix,White/Tan
11211,A681999,2014-06-30,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan
11212,A683149,2014-07-11,Transfer,Dog,Intact Female,2 months,Boxer Mix,Brown/White
11213,A687330,2014-11-24,Transfer,Dog,Neutered Male,11 months,Pit Bull Mix,Brown/White
11214,A687555,2014-09-10,Adoption,Dog,Spayed Female,1 year,Papillon/Pomeranian,Gold
11215,A698310,2015-03-10,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie
11216,A719628,2016-01-23,Euthanasia,Cat,Intact Male,6 months,Domestic Shorthair Mix,Brown Tabby
11217,A664843,2014-08-18,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
11218,A673338,2014-02-28,Transfer,Dog,Neutered Male,4 years,Labrador Retriever Mix,Chocolate
11219,A692436,2014-11-28,Adoption,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Brown
11220,A685773,2014-09-05,Transfer,Dog,Intact Female,3 years,Pit Bull Mix,Brown/White
11221,A691339,2014-11-03,Euthanasia,Dog,Intact Female,2 years,Miniature Poodle Mix,White
11222,A686309,2014-08-21,Transfer,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
11223,A715147,2015-11-11,Adoption,Dog,Neutered Male,1 year,German Shepherd Mix,Black
11224,A690117,2014-10-15,Return_to_owner,Dog,Spayed Female,4 years,Dachshund Mix,Red
11225,A670313,2014-09-08,Adoption,Dog,Neutered Male,5 years,Dogo Argentino Mix,White/Yellow Brindle
11226,A700469,2015-04-21,Return_to_owner,Dog,Intact Male,2 years,American Staffordshire Terrier Mix,Blue/White
11227,A716762,2015-12-31,Transfer,Dog,Intact Male,2 years,Pit Bull Mix,White/Brown
11228,A698906,2015-03-29,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull/Labrador Retriever,Chocolate/White
11229,A693903,2014-12-25,Return_to_owner,Dog,Spayed Female,2 years,Rottweiler,Black/Tan
11230,A706614,2015-07-06,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Brown
11231,A704112,2015-06-05,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
11232,A658388,2016-01-09,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
11233,A699879,2015-04-04,Transfer,Dog,Intact Male,1 month,Rat Terrier Mix,Black Brindle/White
11234,A719384,2016-01-28,Transfer,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
11235,A673217,2014-02-24,Transfer,Dog,Spayed Female,6 years,Great Dane Mix,Blue Merle/White
11236,A689700,2015-01-11,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
11237,A707180,2015-07-24,Adoption,Dog,Spayed Female,2 months,Border Collie Mix,White/Buff
11238,A718652,2016-01-08,Transfer,Dog,Neutered Male,4 years,English Bulldog Mix,Brown/White
11239,A675019,2014-03-26,Adoption,Dog,Neutered Male,1 year,Boxer/Labrador Retriever,Red/White
11240,A694507,2014-12-30,Return_to_owner,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Chocolate
11241,A680436,2014-06-10,Adoption,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
11242,A704313,2015-06-05,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue
11243,A650073,2014-10-10,Euthanasia,Dog,Spayed Female,3 years,Labrador Retriever/Australian Cattle Dog,Black/Blue Merle
11244,A703065,2015-08-15,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie/White
11245,A671476,2014-02-05,Transfer,Cat,Spayed Female,6 years,Russian Blue Mix,Blue
11246,A688605,2014-12-31,Adoption,Dog,Neutered Male,1 year,American Staffordshire Terrier,Blue/White
11247,A713944,2015-10-15,Euthanasia,Dog,Intact Female,4 months,Yorkshire Terrier Mix,Tan/Black
11248,A687941,2014-09-12,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby/White
11249,A683258,2015-01-20,Adoption,Dog,Neutered Male,10 years,Australian Cattle Dog Mix,Red Merle
11250,A673247,2014-02-22,Transfer,Cat,Intact Male,10 months,Domestic Shorthair Mix,Brown Tabby/White
11251,A708829,2015-12-12,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
11252,A714068,2015-11-03,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
11253,A668532,2013-12-06,Transfer,Dog,Intact Male,1 year,Border Collie Mix,Tricolor
11254,A685410,2015-07-05,Return_to_owner,Dog,Spayed Female,3 years,Miniature Poodle/Maltese,White/Tan
11255,A684347,2014-07-22,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
11256,A627909,2014-01-21,Adoption,Cat,Spayed Female,1 year,Maine Coon Mix,Brown Tabby
11257,A684996,2014-08-16,Adoption,Dog,Neutered Male,4 years,Rat Terrier Mix,Tricolor
11258,A694478,2015-01-01,Adoption,Dog,Spayed Female,8 months,Pbgv,Brown
11259,A709666,2015-08-23,Return_to_owner,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Tan/White
11260,A719069,2016-01-14,Return_to_owner,Dog,Intact Male,1 year,Australian Cattle Dog/Labrador Retriever,Black/White
11261,A705791,2015-07-01,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Black
11262,A680777,2014-06-17,Adoption,Cat,Neutered Male,2 years,Sphynx,Tan
11263,A699107,2015-05-06,Adoption,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Cream/White
11264,A678633,2014-05-17,Adoption,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Brown
11265,A707334,2015-07-23,Adoption,Dog,Spayed Female,5 months,Australian Kelpie Mix,Black
11266,A673825,2014-03-07,Adoption,Dog,Spayed Female,2 months,Labrador Retriever/Dachshund,Black
11267,A678948,2014-05-17,Return_to_owner,Dog,Neutered Male,5 years,Japanese Chin Mix,White/Red
11268,A718908,2016-01-22,Adoption,Dog,Neutered Male,3 years,Boxer,White
11269,A717899,2015-12-26,Transfer,Dog,Intact Female,4 months,Labrador Retriever/Australian Cattle Dog,Red/White
11270,A412173,2015-08-08,Return_to_owner,Dog,Neutered Male,9 years,Manchester Terrier Mix,Tricolor
11271,A679688,2015-12-18,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue
11272,A690881,2014-11-01,Adoption,Dog,Neutered Male,7 months,Border Terrier Mix,Silver/Tan
11273,A678306,2014-05-18,Adoption,Dog,Spayed Female,3 years,Border Collie,Black/White
11274,A701261,2015-04-26,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby
11275,A704771,2015-06-24,Euthanasia,Dog,Intact Male,1 year,Rottweiler,Black/Brown
11276,A714234,2015-11-09,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Gray Tabby/White
11277,A647894,2013-11-10,Adoption,Dog,Neutered Male,5 years,Boxer Mix,Tan/White
11278,A687766,2014-09-09,Transfer,Cat,Intact Female,1 week,Domestic Shorthair Mix,Calico
11279,A690429,2014-11-02,Transfer,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Tan
11280,A698074,2015-03-09,Adoption,Dog,Spayed Female,2 months,German Shepherd/Labrador Retriever,Sable
11281,A697488,2015-06-15,Adoption,Dog,Spayed Female,3 years,Black Mouth Cur/Basset Hound,Brown/White
11282,A704461,2015-06-09,Transfer,Cat,Intact Female,8 years,Domestic Medium Hair Mix,Orange Tabby
11283,A711523,2015-09-08,Transfer,Cat,Intact Male,6 days,Domestic Shorthair Mix,Black/White
11284,A687927,2014-09-23,Transfer,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black
11285,A689396,2014-10-14,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
11286,A655387,2015-05-28,Return_to_owner,Dog,Intact Female,2 years,German Shepherd,Black/Brown
11287,A642590,2015-06-09,Adoption,Dog,Spayed Female,3 years,Beagle Mix,Brown/White
11288,A670836,2014-01-16,Adoption,Cat,Neutered Male,4 months,Maine Coon,Brown/Black
11289,A692748,2014-11-30,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico/White
11290,A700643,2015-04-30,Adoption,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Black
11291,A666356,2013-11-03,Adoption,Dog,Spayed Female,6 months,Yorkshire Terrier Mix,Black/Tan
11292,A690054,2014-10-19,Adoption,Dog,Spayed Female,2 years,Pembroke Welsh Corgi/Chihuahua Shorthair,Tan/White
11293,A705158,2015-06-19,Transfer,Dog,Intact Male,1 weeks,American Staffordshire Terrier,Black/White
11294,A686892,2014-09-03,Adoption,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Gray
11295,A702485,2015-07-03,Adoption,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Brown Tabby/White
11296,A680434,2014-06-24,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
11297,A719729,2016-01-31,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Sable
11298,A593245,2014-08-09,Return_to_owner,Dog,Spayed Female,5 years,Italian Greyhound/Beagle,Tricolor
11299,A666311,2013-11-09,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
11300,A690489,2014-10-27,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
11301,A716884,2015-12-01,Transfer,Dog,Neutered Male,3 years,Great Dane Mix,Black/White
11302,A671864,2014-01-31,Return_to_owner,Dog,Neutered Male,10 years,Golden Retriever Mix,Gold/White
11303,A713170,2015-11-29,Adoption,Dog,Neutered Male,7 years,Bichon Frise Mix,White
11304,A700681,2015-05-03,Adoption,Dog,Spayed Female,5 months,Akita/Siberian Husky,Tan/White
11305,A686941,2014-08-29,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Torbie
11306,A704584,2015-06-06,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Torbie
11307,A687744,2014-09-13,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
11308,A663529,2014-01-12,Transfer,Dog,Neutered Male,7 years,American Staffordshire Terrier Mix,Brown/White
11309,A664551,2013-12-02,Adoption,Dog,Spayed Female,2 months,Chinese Sharpei Mix,Black/White
11310,A684047,2014-07-22,Transfer,Cat,Intact Female,1 month,Siamese Mix,Seal Point
11311,A670717,2014-01-13,Return_to_owner,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Sable/Tan
11312,A712172,2015-10-01,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue
11313,A686975,2014-09-07,Return_to_owner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
11314,A693079,2014-12-05,Transfer,Dog,Intact Male,1 year,Catahoula Mix,Brown Brindle
11315,A701245,2015-04-27,Return_to_owner,Dog,Spayed Female,2 years,Labrador Retriever,Yellow
11316,A714513,2015-10-29,Adoption,Dog,Spayed Female,6 months,Beagle/Boston Terrier,White/Black
11317,A694508,2015-01-09,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
11318,A371102,2015-08-03,Return_to_owner,Dog,Neutered Male,13 years,Bullmastiff Mix,Black/White
11319,A697165,2015-05-03,Adoption,Dog,Spayed Female,2 months,Labrador Retriever/Anatol Shepherd,White/Black
11320,A702814,2015-05-18,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
11321,A652773,2013-12-21,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Brown Tabby/White
11322,A690876,2014-11-17,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White
11323,A448819,2014-03-29,Return_to_owner,Dog,Spayed Female,9 years,Chihuahua Shorthair,Black/Brown
11324,A718813,2016-02-14,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
11325,A690385,2014-10-20,Return_to_owner,Dog,Neutered Male,14 years,Tibetan Spaniel,Red/Black
11326,A672713,2014-02-22,Adoption,Dog,Neutered Male,1 year,Dachshund Mix,Black/Brown
11327,A672204,2014-02-10,Return_to_owner,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
11328,A719653,2016-02-13,Adoption,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black/Brown
11329,A711723,2015-09-11,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
11330,A686141,2014-08-18,Return_to_owner,Dog,Intact Female,10 years,Chihuahua Shorthair Mix,Yellow
11331,A685033,2014-08-01,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
11332,A691613,2014-11-21,Euthanasia,Cat,Intact Female,2 months,Domestic Shorthair Mix,Gray Tabby/White
11333,A705755,2015-07-04,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby/White
11334,A667497,2014-01-02,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
11335,A704511,2015-06-05,Return_to_owner,Dog,Spayed Female,7 years,Plott Hound Mix,Brown Brindle
11336,A693324,2014-12-07,Adoption,Dog,Neutered Male,7 years,Basset Hound,Brown/White
11337,A715188,2015-11-01,Return_to_owner,Dog,Spayed Female,6 years,Boston Terrier Mix,Tan
11338,A621962,2014-12-29,Return_to_owner,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
11339,A682242,2014-08-14,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
11340,A713383,2015-10-11,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
11341,A694434,2015-01-02,Adoption,Dog,Neutered Male,1 year,Whippet Mix,Brown/White
11342,A693369,2015-03-11,Adoption,Dog,Spayed Female,2 years,Pekingese Mix,White
11343,A695781,2015-02-10,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby/White
11344,A700251,2015-08-01,Adoption,Dog,Spayed Female,1 year,Australian Kelpie Mix,Brown Brindle
11345,A677573,2014-06-05,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
11346,A703924,2015-07-17,Adoption,Cat,Neutered Male,4 months,Domestic Medium Hair,Black/White
11347,A651766,2014-06-20,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Red
11348,A683547,2014-08-01,Died,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby/White
11349,A709225,2015-08-18,Return_to_owner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
11350,A689320,2014-10-03,Return_to_owner,Dog,Neutered Male,15 years,Miniature Schnauzer Mix,Gray/White
11351,A698536,2015-03-30,Adoption,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Blue Merle
11352,A684297,2014-07-23,Euthanasia,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Tan
11353,A684206,2014-12-12,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby/White
11354,A695960,2015-01-28,Return_to_owner,Dog,Neutered Male,2 years,Bedlington Terr Mix,White
11355,A703284,2015-05-26,Transfer,Dog,Spayed Female,6 months,Chow Chow,Buff/Black
11356,A685084,2014-08-21,Adoption,Dog,Spayed Female,2 months,Boxer Mix,Black/White
11357,A701128,2015-05-05,Transfer,Dog,Neutered Male,5 years,Cane Corso/Mastiff,Tan/Black
11358,A688531,2014-09-23,Transfer,Dog,Neutered Male,5 years,Silky Terrier Mix,Buff
11359,A670511,2014-01-18,Adoption,Dog,Spayed Female,2 years,Chihuahua Longhair Mix,Buff
11360,A679744,2014-05-25,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
11361,A711704,2015-09-12,Euthanasia,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
11362,A685081,2014-08-05,Return_to_owner,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Blue Merle
11363,A681908,2014-07-23,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/Black
11364,A688024,2014-09-13,Return_to_owner,Dog,Spayed Female,5 years,Chihuahua Shorthair/Pug,Brown
11365,A687360,2014-11-12,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White
11366,A709088,2015-08-08,Adoption,Cat,Neutered Male,5 months,Domestic Shorthair,Blue Tabby/White
11367,A718536,2016-01-08,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
11368,A690540,2014-10-28,Transfer,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Blue/White
11369,A686015,2014-08-18,Transfer,Dog,Intact Female,2 months,Labrador Retriever/Pointer,Black/White
11370,A719400,2016-01-23,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie
11371,A686648,2014-08-27,Transfer,Dog,Neutered Male,3 years,American Pit Bull Terrier Mix,Fawn/White
11372,A697322,2015-02-28,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
11373,A699671,2015-04-04,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
11374,A687187,2014-10-13,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
11375,A702608,2015-07-19,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
11376,A711997,2015-10-15,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
11377,A650967,2014-01-27,Return_to_owner,Cat,Neutered Male,3 years,Domestic Longhair Mix,Orange Tabby/White
11378,A680420,2014-07-09,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue/White
11379,A670613,2014-02-02,Adoption,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Orange Tabby
11380,A687768,2014-11-19,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
11381,A699390,2015-03-30,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
11382,A681230,2014-06-14,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
11383,A715264,2015-11-08,Euthanasia,Dog,Intact Male,2 years,Rat Terrier,Tricolor
11384,A663825,2013-10-02,Transfer,Dog,Spayed Female,8 months,Labrador Retriever Mix,Brown
11385,A665489,2013-10-27,Adoption,Dog,Spayed Female,3 months,Queensland Heeler Mix,Blue Merle
11386,A705373,2015-06-16,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
11387,A670390,2014-01-16,Transfer,Dog,Spayed Female,9 years,Dachshund Mix,Red
11388,A667837,2014-06-17,Return_to_owner,Dog,Spayed Female,2 years,Cocker Spaniel Mix,Red/White
11389,A700850,2015-04-26,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Chocolate/White
11390,A671882,2014-02-15,Adoption,Dog,Spayed Female,6 months,Pit Bull Mix,Black/White
11391,A707393,2015-07-17,Adoption,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Black/Tricolor
11392,A719340,2016-01-28,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair/Dachshund,Tan/White
11393,A698131,2015-07-08,Transfer,Dog,Spayed Female,3 years,Dachshund Mix,Red/White
11394,A674111,2014-03-13,Transfer,Dog,Spayed Female,8 years,Chihuahua Shorthair Mix,Tan
